Resolution,Resampling Technique,Predictor Type,Metric,Average Performance,SD Performance
50kb,SMOTE,OC,Specificity,0.797,0.032
50kb,SMOTE,OC,Accuracy,0.734,0.026
50kb,SMOTE,OC,Precision,0.231,0.045
50kb,SMOTE,OC,MCC,0.131,0.058
50kb,SMOTE,OC,F1,0.28,0.055
50kb,SMOTE,OC,AUC,0.628,0.028
50kb,SMOTE,OC,AUPRC,0.218,0.032
50kb,SMOTE,OP,Sensitivity,0.391,0.074
50kb,SMOTE,OP,Specificity,0.757,0.043
50kb,SMOTE,OP,Accuracy,0.704,0.031
50kb,SMOTE,OP,Precision,0.215,0.033
50kb,SMOTE,OP,MCC,0.119,0.04
50kb,SMOTE,OP,F1,0.276,0.041
50kb,SMOTE,OP,AUC,0.619,0.03
50kb,SMOTE,OP,AUPRC,0.208,0.03
50kb,SMOTE,Distance,Sensitivity,0.62,0.09
50kb,SMOTE,Distance,Specificity,0.753,0.027
50kb,SMOTE,Distance,Accuracy,0.735,0.023
50kb,SMOTE,Distance,Precision,0.299,0.042
50kb,SMOTE,Distance,MCC,0.287,0.065
50kb,SMOTE,Distance,F1,0.403,0.054
50kb,SMOTE,Distance,AUC,0.773,0.039
50kb,SMOTE,Distance,AUPRC,0.357,0.06
100kb,None,OC,Sensitivity,0.007,0.018
100kb,None,OC,Specificity,0.994,0.009
100kb,None,OC,Accuracy,0.864,0.021
100kb,None,OC,Precision,0.146,0.296
100kb,None,OC,MCC,0.005,0.081
100kb,None,OC,F1,0.067,0.044
100kb,None,OC,AUC,0.6,0.037
100kb,None,OC,AUPRC,0.175,0.038
100kb,None,OP,Sensitivity,0.014,0.032
100kb,None,OP,Specificity,0.992,0.018
100kb,None,OP,Accuracy,0.864,0.025
100kb,None,OP,Precision,0.2,0.241
100kb,None,OP,MCC,0.031,0.054
100kb,None,OP,F1,0.107,0.045
100kb,None,OP,AUC,0.599,0.048
100kb,None,OP,AUPRC,0.174,0.042
100kb,None,Distance,Sensitivity,0.032,0.039
100kb,None,Distance,Specificity,0.997,0.003
100kb,None,Distance,Accuracy,0.871,0.02
100kb,None,Distance,Precision,0.561,0.317
100kb,None,Distance,MCC,0.129,0.101
100kb,None,Distance,F1,0.094,0.066
100kb,None,Distance,AUC,0.733,0.078
100kb,None,Distance,AUPRC,0.299,0.072
100kb,ROS,OC,Sensitivity,0.043,0.05
100kb,ROS,OC,Specificity,0.956,0.034
100kb,ROS,OC,Accuracy,0.837,0.032
100kb,ROS,OC,Precision,0.125,0.096
100kb,ROS,OC,MCC,-0.002,0.053
100kb,ROS,OC,F1,0.081,0.048
100kb,ROS,OC,AUC,0.605,0.047
100kb,ROS,OC,AUPRC,0.171,0.028
100kb,ROS,OP,Sensitivity,0.039,0.048
100kb,ROS,OP,Specificity,0.968,0.027
100kb,ROS,OP,Accuracy,0.847,0.03
100kb,ROS,OP,Precision,0.153,0.141
100kb,ROS,OP,MCC,0.013,0.066
100kb,ROS,OP,F1,0.092,0.049
100kb,ROS,OP,AUC,0.597,0.055
100kb,ROS,OP,AUPRC,0.171,0.037
100kb,ROS,Distance,Sensitivity,0.061,0.047
100kb,ROS,Distance,Specificity,0.991,0.012
100kb,ROS,Distance,Accuracy,0.868,0.019
100kb,ROS,Distance,Precision,0.591,0.251
100kb,ROS,Distance,MCC,0.151,0.081
100kb,ROS,Distance,F1,0.115,0.065
100kb,ROS,Distance,AUC,0.783,0.053
100kb,ROS,Distance,AUPRC,0.376,0.072
100kb,RUS,OC,Sensitivity,0.574,0.092
100kb,RUS,OC,Specificity,0.568,0.08
100kb,RUS,OC,Accuracy,0.568,0.067
100kb,RUS,OC,Precision,0.17,0.041
100kb,RUS,OC,MCC,0.098,0.066
100kb,RUS,OC,F1,0.26,0.052
100kb,RUS,OC,AUC,0.595,0.052
100kb,RUS,OC,AUPRC,0.18,0.04
100kb,RUS,OP,Sensitivity,0.577,0.133
100kb,RUS,OP,Specificity,0.559,0.068
100kb,RUS,OP,Accuracy,0.563,0.06
100kb,RUS,OP,Precision,0.169,0.051
100kb,RUS,OP,MCC,0.095,0.095
100kb,RUS,OP,F1,0.26,0.073
100kb,RUS,OP,AUC,0.587,0.077
100kb,RUS,OP,AUPRC,0.185,0.054
100kb,RUS,Distance,Sensitivity,0.654,0.11
100kb,RUS,Distance,Specificity,0.591,0.061
100kb,RUS,Distance,Accuracy,0.6,0.054
100kb,RUS,Distance,Precision,0.197,0.046
100kb,RUS,Distance,MCC,0.168,0.086
100kb,RUS,Distance,F1,0.301,0.063
100kb,RUS,Distance,AUC,0.667,0.082
100kb,RUS,Distance,AUPRC,0.252,0.074
100kb,SMOTE,OC,Sensitivity,0.364,0.104
100kb,SMOTE,OC,Specificity,0.785,0.044
100kb,SMOTE,OC,Accuracy,0.729,0.035
100kb,SMOTE,OC,Precision,0.202,0.04
100kb,SMOTE,OC,MCC,0.117,0.065
100kb,SMOTE,OC,F1,0.256,0.05
100kb,SMOTE,OC,AUC,0.635,0.052
100kb,SMOTE,OC,AUPRC,0.197,0.04
100kb,SMOTE,OP,Sensitivity,0.415,0.1
100kb,SMOTE,OP,Specificity,0.755,0.044
100kb,SMOTE,OP,Accuracy,0.709,0.037
100kb,SMOTE,OP,Precision,0.202,0.037
100kb,SMOTE,OP,MCC,0.127,0.066
100kb,SMOTE,OP,F1,0.269,0.048
100kb,SMOTE,OP,AUC,0.637,0.056
100kb,SMOTE,OP,AUPRC,0.198,0.04
100kb,SMOTE,Distance,Sensitivity,0.531,0.11
100kb,SMOTE,Distance,Specificity,0.758,0.058
100kb,SMOTE,Distance,Accuracy,0.729,0.049
100kb,SMOTE,Distance,Precision,0.253,0.058
100kb,SMOTE,Distance,MCC,0.219,0.08
100kb,SMOTE,Distance,F1,0.339,0.065
100kb,SMOTE,Distance,AUC,0.726,0.068
100kb,SMOTE,Distance,AUPRC,0.282,0.065
