Resolution,Resampling,Predictor,Metric,AvePerf,SDPerf
100kb,None,OC,Accuracy,0.872,0.02
100kb,None,OC,Precision,0.311,0.35
100kb,None,OC,MCC,0.032,0.071
100kb,None,OC,F1,0.042,0.017
100kb,None,OC,AUC,0.633,0.053
100kb,None,OC,AUPRC,0.193,0.048
100kb,None,OP,Sensitivity,0.008,0.023
100kb,None,OP,Specificity,0.996,0.016
100kb,None,OP,Accuracy,0.872,0.022
100kb,None,OP,Precision,0.407,0.414
100kb,None,OP,MCC,0.061,0.073
100kb,None,OP,F1,0.063,0.043
100kb,None,OP,AUC,0.607,0.046
100kb,None,OP,AUPRC,0.179,0.041
100kb,None,Distance,Sensitivity,0.043,0.05
100kb,None,Distance,Specificity,0.996,0.006
100kb,None,Distance,Accuracy,0.876,0.019
100kb,None,Distance,Precision,0.539,0.314
100kb,None,Distance,MCC,0.134,0.098
100kb,None,Distance,F1,0.11,0.071
100kb,None,Distance,AUC,0.777,0.056
100kb,None,Distance,AUPRC,0.352,0.079
100kb,ROS,OC,Sensitivity,0.043,0.046
100kb,ROS,OC,Specificity,0.972,0.024
100kb,ROS,OC,Accuracy,0.855,0.022
100kb,ROS,OC,Precision,0.156,0.123
100kb,ROS,OC,MCC,0.025,0.062
100kb,ROS,OC,F1,0.087,0.057
100kb,ROS,OC,AUC,0.62,0.047
100kb,ROS,OC,AUPRC,0.177,0.039
100kb,ROS,OP,Sensitivity,0.03,0.035
100kb,ROS,OP,Specificity,0.975,0.018
100kb,ROS,OP,Accuracy,0.857,0.022
100kb,ROS,OP,Precision,0.127,0.128
100kb,ROS,OP,MCC,0.008,0.062
100kb,ROS,OP,F1,0.08,0.045
100kb,ROS,OP,AUC,0.595,0.052
100kb,ROS,OP,AUPRC,0.166,0.036
100kb,ROS,Distance,Sensitivity,0.101,0.073
100kb,ROS,Distance,Specificity,0.989,0.01
100kb,ROS,Distance,Accuracy,0.877,0.02
100kb,ROS,Distance,Precision,0.549,0.21
100kb,ROS,Distance,MCC,0.196,0.105
100kb,ROS,Distance,F1,0.178,0.094
100kb,ROS,Distance,AUC,0.807,0.062
100kb,ROS,Distance,AUPRC,0.4,0.1
100kb,RUS,OC,Sensitivity,0.578,0.09
100kb,RUS,OC,Specificity,0.586,0.071
100kb,RUS,OC,Accuracy,0.585,0.053
100kb,RUS,OC,Precision,0.167,0.029
100kb,RUS,OC,MCC,0.11,0.042
100kb,RUS,OC,F1,0.257,0.035
100kb,RUS,OC,AUC,0.621,0.043
100kb,RUS,OC,AUPRC,0.18,0.039
100kb,RUS,OP,Sensitivity,0.587,0.099
100kb,RUS,OP,Specificity,0.566,0.078
100kb,RUS,OP,Accuracy,0.568,0.061
100kb,RUS,OP,Precision,0.163,0.032
100kb,RUS,OP,MCC,0.102,0.051
100kb,RUS,OP,F1,0.253,0.04
100kb,RUS,OP,AUC,0.599,0.064
100kb,RUS,OP,AUPRC,0.176,0.04
100kb,RUS,Distance,Sensitivity,0.745,0.077
100kb,RUS,Distance,Specificity,0.588,0.062
