"","CellLine","Resolution","Resampling","PredictorType","Metric","Performance"
"308","GM12878","25 kb","ROS","OP","TP",37
"309","GM12878","25 kb","ROS","OP","Total",2713
"310","GM12878","25 kb","ROS","OP","Sensitivity",0.094
"311","GM12878","25 kb","ROS","OP","Specificity",0.946
"312","GM12878","25 kb","ROS","OP","Kappa",0.053
"313","GM12878","25 kb","ROS","OP","Accuracy",0.822
"314","GM12878","25 kb","ROS","OP","Precision",0.228
"315","GM12878","25 kb","ROS","OP","FPR",0.054
"316","GM12878","25 kb","ROS","OP","FNR",0.14
"317","GM12878","25 kb","ROS","OP","FOR",0.14
"318","GM12878","25 kb","ROS","OP","NPV",0.86
"319","GM12878","25 kb","ROS","OP","MCC",0.059
"320","GM12878","25 kb","ROS","OP","F1",0.133
"321","GM12878","25 kb","ROS","OP","AUC",0.613
"322","GM12878","25 kb","ROS","OP","Youden",0.04
"323","GM12878","25 kb","ROS","OP","AUPRC",0.202
"324","GM12878","25 kb","ROS","Distance","TN",2272
"325","GM12878","25 kb","ROS","Distance","FN",319
"326","GM12878","25 kb","ROS","Distance","FP",46
"327","GM12878","25 kb","ROS","Distance","TP",76
"328","GM12878","25 kb","ROS","Distance","Total",2713
"329","GM12878","25 kb","ROS","Distance","Sensitivity",0.192
"330","GM12878","25 kb","ROS","Distance","Specificity",0.98
"331","GM12878","25 kb","ROS","Distance","Kappa",0.242
"332","GM12878","25 kb","ROS","Distance","Accuracy",0.865
"333","GM12878","25 kb","ROS","Distance","Precision",0.623
"334","GM12878","25 kb","ROS","Distance","FPR",0.02
"335","GM12878","25 kb","ROS","Distance","FNR",0.123
"336","GM12878","25 kb","ROS","Distance","FOR",0.123
"337","GM12878","25 kb","ROS","Distance","NPV",0.877
"338","GM12878","25 kb","ROS","Distance","MCC",0.294
"339","GM12878","25 kb","ROS","Distance","F1",0.294
"340","GM12878","25 kb","ROS","Distance","AUC",0.854
"341","GM12878","25 kb","ROS","Distance","Youden",0.173
"342","GM12878","25 kb","ROS","Distance","AUPRC",0.479
"343","GM12878","50 kb","ROS","OC","TN",1110
"344","GM12878","50 kb","ROS","OC","FN",185
"345","GM12878","50 kb","ROS","OC","FP",54
"346","GM12878","50 kb","ROS","OC","TP",14
"347","GM12878","50 kb","ROS","OC","Total",1363
"348","GM12878","50 kb","ROS","OC","Sensitivity",0.07
"349","GM12878","50 kb","ROS","OC","Specificity",0.954
"350","GM12878","50 kb","ROS","OC","Kappa",0.033
"351","GM12878","50 kb","ROS","OC","Accuracy",0.825
